GP,Candidate,Score,Decision
BUTTY MANUFACTURING,FTT MANUFACTURING,88.88888888888889,
BWISE MANUFACTURING,BMS MANUFACTURING,88.88888888888889,
CAB POWDER COATING,AFI POWDER COATING,88.88888888888889,
CHIPS MANUFACTURING,EHS MANUFACTURING,88.88888888888889,
CHIPS MANUFACTURING,EIP MANUFACTURING,88.88888888888889,
CINE,CINEX,88.88888888888889,
CISA,CICSA,88.88888888888889,
CISA,CISLA,88.88888888888889,
CNC POWDER COATING,CAB POWDER COATING,88.88888888888889,
COMA,COMAP,88.88888888888889,
COMA,COMAR,88.88888888888889,
COMA,COMAS,88.88888888888889,
COMA,COMAU,88.88888888888889,
COMEC,OMEC,88.88888888888889,
CORNELL ENGINEERING,CHELL ENGINEERING,88.88888888888889,
CROW MANUFACTURING,ALCO MANUFACTURING,88.88888888888889,
CROW MANUFACTURING,CURT MANUFACTURING,88.88888888888889,
CROWN ENGINEERING,CHIRTON ENGINEERING,88.88888888888889,
CSS MANUFACTURING,CHIPS MANUFACTURING,88.88888888888889,
D H INDUSTRIES,AH INDUSTRIES,88.88888888888889,
D H INDUSTRIES,D4 INDUSTRIES,88.88888888888889,
D4 INDUSTRIES,ARD INDUSTRIES,88.88888888888889,
D4 INDUSTRIES,BDM INDUSTRIES,88.88888888888889,
D4 INDUSTRIES,DEL INDUSTRIES,88.88888888888889,
DACOL ENGINEERING,AK COLE ENGINEERING,88.88888888888889,
DAMAN PRODUCTS,ADMA PRODUCTS,88.88888888888889,
DAMAN PRODUCTS,ALMA PRODUCTS,88.88888888888889,
DIE TECH INDUSTRIES,EX TEC INDUSTRIES,88.88888888888889,
EAGLE MANUFACTURING,AER MANUFACTURING,88.88888888888889,
EAGLE MANUFACTURING,CGL MANUFACTURING,88.88888888888889,
ECOL,ECOOL,88.88888888888889,
EKON,ELKON,88.88888888888889,
ELETROPO,ELETROPOLL,88.88888888888889,
ELMA,ELMAR,88.88888888888889,
ELMEC,EMEC,88.88888888888889,
ERA INDUSTRIES,AH INDUSTRIES,88.88888888888889,
ERA INDUSTRIES,AI INDUSTRIES,88.88888888888889,
ERA INDUSTRIES,AK INDUSTRIES,88.88888888888889,
ERA INDUSTRIES,AZ INDUSTRIES,88.88888888888889,
ERCO,ERICO,88.88888888888889,
FACO,FALCO,88.88888888888889,
FANDB MANUFACTURING,A D MANUFACTURING,88.88888888888889,
FIDAT,FIAT,88.88888888888889,
FIME,FIMEX,88.88888888888889,
FIMEK,FIME,88.88888888888889,
FIMEX,IMEX,88.88888888888889,
FTT MANUFACTURING,FAITH MANUFACTURING,88.88888888888889,
GAUTHIER INDUSTRIES,GAUMER INDUSTRIES,88.88888888888889,
GL ELETRO,ELETROGIL,88.88888888888889,
GS PRECISION,PRECISION GEARS,88.88888888888889,
HACO,HARCO,88.88888888888889,
HARSH INTERNATIONAL,ARC INTERNATIONAL,88.88888888888889,
HAWKES MACHINE TOOLS,HW MACHINE TOOLS,88.88888888888889,
HAYES MANUFACTURING,AER MANUFACTURING,88.88888888888889,
HAYES MANUFACTURING,EHS MANUFACTURING,88.88888888888889,
HENRY MANUFACTURING,AER MANUFACTURING,88.88888888888889,
HMS INDUSTRIES,AH INDUSTRIES,88.88888888888889,
HYTEC ENGINEERING,LYNTECH ENGINEERING,88.88888888888889,
IDEAL MACHINE AND TOOL,ELDALE MACHINE AND TOOL,88.88888888888889,
IDEX,WIDEX,88.88888888888889,
IFS INDUSTRIES,AI INDUSTRIES,88.88888888888889,
IMAGE MANUFACTURING,AER MANUFACTURING,88.88888888888889,
IMI GROUP,IMC GROUP,88.88888888888889,
INDUSTRIAS RC,RFC INDUSTRIES,88.88888888888889,
INDUSTRIES TLT,LS INDUSTRIES,88.88888888888889,
ITC GROUP,IMC GROUP,88.88888888888889,
ITC MANUFACTURING,FAITH MANUFACTURING,88.88888888888889,
ITEMA,TEMA,88.88888888888889,
IVA MANUFACTURING,BIMBA MANUFACTURING,88.88888888888889,
IVA MANUFACTURING,IMAGE MANUFACTURING,88.88888888888889,
J R POWDER COATING,PRO POWDER COATING,88.88888888888889,
JANEL,ANEL,88.88888888888889,
JONA MANUFACTURING,AEON MANUFACTURING,88.88888888888889,
JONA MANUFACTURING,ANCA MANUFACTURING,88.88888888888889,
JONA MANUFACTURING,LYON MANUFACTURING,88.88888888888889,
K2W PRECISION,KMWE PRECISION,88.88888888888889,
KAREL MANUFACTURING,AER MANUFACTURING,88.88888888888889,
KAREL MANUFACTURING,KAY MANUFACTURING,88.88888888888889,
KAY MANUFACTURING,DINKY MANUFACTURING,88.88888888888889,
KAY MANUFACTURING,ELRAY MANUFACTURING,88.88888888888889,
KAY MANUFACTURING,HAYES MANUFACTURING,88.88888888888889,
KEB INDUSTRIES,SK INDUSTRIES,88.88888888888889,
KEITH ENGINEERING,KELTECH ENGINEERING,88.88888888888889,
KIM MANUFACTURING,IMAGE MANUFACTURING,88.88888888888889,
KIM MANUFACTURING,KINZE MANUFACTURING,88.88888888888889,
KSM GROUP,SCM GROUP,88.88888888888889,
KSM GROUP,SMS GROUP,88.88888888888889,
L 3 COMMUNICATIONS,LSC COMMUNICATIONS,88.88888888888889,
LAI KAI INDUSTRIAL,SHI KAI INDUSTRIAL,88.88888888888889,
LDI INDUSTRIES INC,LOC INDUSTRIES INC,88.88888888888889,
LENZ,LENZE,88.88888888888889,
LES INDUSTRIES,SK INDUSTRIES,88.88888888888889,
LIMET,IMET,88.88888888888889,
LMC MANUFACTURING,MAC B MANUFACTURING,88.88888888888889,
LMT GROUP,LPM GROUP,88.88888888888889,
LS INDUSTRIES,MSP INDUSTRIES,88.88888888888889,
LYON MANUFACTURING,LUND MANUFACTURING,88.88888888888889,
LYON MANUFACTURING,ALCO MANUFACTURING,88.88888888888889,
M A INDUSTRIES,AH INDUSTRIES,88.88888888888889,
M A INDUSTRIES,AI INDUSTRIES,88.88888888888889,
M A INDUSTRIES,AK INDUSTRIES,88.88888888888889,
M A INDUSTRIES,AZ INDUSTRIES,88.88888888888889,
MACK MANUFACTURING,ALCO MANUFACTURING,88.88888888888889,
MACK MANUFACTURING,ANCA MANUFACTURING,88.88888888888889,
MACK MANUFACTURING,BECK MANUFACTURING,88.88888888888889,
MAGO,MAGOR,88.88888888888889,
MANDR MANUFACTURING,AER MANUFACTURING,88.88888888888889,
MANUFACTURING SALES,S S MANUFACTURING,88.88888888888889,
MARS MANUFACTURING,RIMA MANUFACTURING,88.88888888888889,
MASS PRECISION,EMS PRECISION,88.88888888888889,
MAX PRECISION,KOMA PRECISION,88.88888888888889,
MAX PRECISION,MASS PRECISION,88.88888888888889,
MC MANUFACTURING,METRIC MANUFACTURING,88.88888888888889,
MCF INDUSTRIES INC,LOC INDUSTRIES INC,88.88888888888889,
MCGILL MANUFACTURING,MC MANUFACTURING,88.88888888888889,
MCLANE MANUFACTURING,MC MANUFACTURING,88.88888888888889,
MECCANICA KEMA,MAS MECCANICA,88.88888888888889,
MECHON ENGINEERING,MICRON ENGINEERING,88.88888888888889,
MECHON ENGINEERING,NERCON ENGINEERING,88.88888888888889,
MEGA,OMEGA,88.88888888888889,
MEK GROUP,MSK GROUP,88.88888888888889,
METAC,MEAC,88.88888888888889,
MILLER TOOL AND DIE,PIER TOOL AND DIE,88.88888888888889,
MITEK,MTEK,88.88888888888889,
MK PRODUCTION,LPM PRODUCTION,88.88888888888889,
MODERN MACHINE AND TOOL,MAJOR TOOL AND MACHINE,88.88888888888889,
MORE,MORET,88.88888888888889,
MPP GROUP,PPD GROUP,88.88888888888889,
MSK GROUP,SMS GROUP,88.88888888888889,
MSP INDUSTRIES,SK INDUSTRIES,88.88888888888889,
MSSP GROUP,SP GROUP,88.88888888888889,
MTEK,AMTEK,88.88888888888889,
MURTECH ENGINEERING,RENCH ENGINEERING,88.88888888888889,
MYERS PRECISION GRINDING,HM PRECISION GRINDING,88.88888888888889,
NARESH ENGINEERING,PARISH ENGINEERING,88.88888888888889,
NAREX,AREX,88.88888888888889,
NASH GROUP,SH GROUP,88.88888888888889,
NEMKA,EMKA,88.88888888888889,
NERCON ENGINEERING,RADCON ENGINEERING,88.88888888888889,
NERCON ENGINEERING,ERLSON ENGINEERING,88.88888888888889,
NERCON ENGINEERING,GEARCO ENGINEERING,88.88888888888889,
NKT GROUP,NTT GROUP,88.88888888888889,
NOBEL,OBEL,88.88888888888889,
NRC INDUSTRIES,INDUSTRIAS RC,88.88888888888889,
OGX INDUSTRIAL SUPPLIES,JD INDUSTRIAL SUPPLIES,88.88888888888889,
OMEC,OLMEC,88.88888888888889,
OPTEC,OTEC,88.88888888888889,
ORBIT ENGINEERING,RUBITEC ENGINEERING,88.88888888888889,
PARK MANUFACTURING,MARS MANUFACTURING,88.88888888888889,
PE MANUFACTURING,PRENCO MANUFACTURING,88.88888888888889,
PE MANUFACTURING,SP MANUFACTURING PTE,88.88888888888889,
PEISA,PISA,88.88888888888889,
PPC MANUFACTURING,ZIPPO MANUFACTURING,88.88888888888889,
PRL INDUSTRIES,LS INDUSTRIES,88.88888888888889,
RAO MANUFACTURING,ROACH MANUFACTURING,88.88888888888889,
RISK PREMIUM,RISK PREMIUM NA,88.88888888888889,
RIZA GROUP,RZ GROUP,88.88888888888889,
SABA,SABAF,88.88888888888889,
SAIC,SAICA,88.88888888888889,
SAK EQUIPMENT,SMAR EQUIPMENT,88.88888888888889,
SECIN,SEIN,88.88888888888889,
SEIKO,EIKO,88.88888888888889,
SERCO,ERCO,88.88888888888889,
SFB GROUP,SEB GROUP,88.88888888888889,
SFB GROUP,SFS GROUP,88.88888888888889,
SICOM,ICOM,88.88888888888889,
SMS GROUP,SCM GROUP,88.88888888888889,
SMS GROUP,SFS GROUP,88.88888888888889,
SOLUTIONS PLUS,LJS SOLUTIONS,88.88888888888889,
SP GROUP,SAMP GROUP,88.88888888888889,
STS MANUFACTURING,MANUFACTURING SALES,88.88888888888889,
STS MANUFACTURING,STONY MANUFACTURING,88.88888888888889,
TAC MANUFACTURING,ROACH MANUFACTURING,88.88888888888889,
TECHNICO,TECHNICORE,88.88888888888889,
TEMA,TEMAC,88.88888888888889,
TESKE MANUFACTURING,SAE MANUFACTURING,88.88888888888889,
TESKE MANUFACTURING,STS MANUFACTURING,88.88888888888889,
TI AUTOMOTIVE,CIE AUTOMOTIVE,88.88888888888889,
TIMET,IMET,88.88888888888889,
TITAN,ITAN,88.88888888888889,
TMF GROUP,HMF GROUP,88.88888888888889,
TRAITEMENT THERMIQUE DELSON,CALLON TRAITEMENT THERMIQUE,88.88888888888889,
TRANSFESA,TRANSMESA,88.88888888888889,
TREX,TEREX,88.88888888888889,
TROY MANUFACTURING,ZERO MANUFACTURING,88.88888888888889,
TSW INDUSTRIES,LS INDUSTRIES,88.88888888888889,
TSW INDUSTRIES,SK INDUSTRIES,88.88888888888889,
TT PRECISION,TANDT PRECISION,88.88888888888889,
TT PRECISION,TOTAL PRECISION,88.88888888888889,
TUBE SPECIALTIES,TURBINE SPECIALITIES,88.88888888888889,
VALCO MANUFACTURING,TAC MANUFACTURING,88.88888888888889,
VALCO MANUFACTURING,RAO MANUFACTURING,88.88888888888889,
VALE,VALEO,88.88888888888889,
VDL INDUSTRIES,LS INDUSTRIES,88.88888888888889,
VDM GROUP,VDL GROUP,88.88888888888889,
VEMA,VEMAR,88.88888888888889,
VENCE,ENCE,88.88888888888889,
VERSATECH,VERSITECH,88.88888888888889,
VIDEC DECOLLETAGE,DEMIDEC DECOLLETAGE,88.88888888888889,
VOIT,VOITH,88.88888888888889,
VOLGA,VOLA,88.88888888888889,
VP INDUSTRIES,MSP INDUSTRIES,88.88888888888889,
VP INDUSTRIES,PAI INDUSTRIES,88.88888888888889,
VP INDUSTRIES,PMI INDUSTRIES,88.88888888888889,
VP INDUSTRIES,PRL INDUSTRIES,88.88888888888889,
VP INDUSTRIES,VDL INDUSTRIES,88.88888888888889,
VP INDUSTRIES,VSR INDUSTRIES,88.88888888888889,
VP INDUSTRIES,MPG INDUSTRIES,88.88888888888889,
VR INTERNATIONAL,VIELER INTERNATIONAL,88.88888888888889,
VR PRODUCTION,ROL PRODUCTION,88.88888888888889,
VSR INDUSTRIES,LS INDUSTRIES,88.88888888888889,
VSR INDUSTRIES,SK INDUSTRIES,88.88888888888889,
WADDELL ENGINEERING,KADEL ENGINEERING,88.88888888888889,
WATERS MACHINE,WATTS MACHINE,88.88888888888889,
WATSON ENGINEERING,EVATON ENGINEERING,88.88888888888889,
WAYNE MANUFACTURING,SAE MANUFACTURING,88.88888888888889,
WEM GROUP,OEM GROUP,88.88888888888889,
WEM GROUP,WMF GROUP,88.88888888888889,
WERNER ENGINEERING,GRINER ENGINEERING,88.88888888888889,
WESCO,ESCO,88.88888888888889,
WMF GROUP,HMF GROUP,88.88888888888889,
WMF GROUP,TMF GROUP,88.88888888888889,
ZML INDUSTRIES,LS INDUSTRIES,88.88888888888889,
ALBERTS SURFACE TECHNOLOGIES,BEP SURFACE TECHNOLOGIES,88.46153846153845,
BAW PRECISION ENGINEERING,BISEP PRECISION ENGINEERING,88.46153846153845,
BAW PRECISION ENGINEERING,BOYCE PRECISION ENGINEERING,88.46153846153845,
BISEP PRECISION ENGINEERING,ADP PRECISION ENGINEERING,88.46153846153845,
CLARO PRECISION ENGINEERING,ATL PRECISION ENGINEERING,88.46153846153845,
CLARO PRECISION ENGINEERING,BAW PRECISION ENGINEERING,88.46153846153845,
CLARO PRECISION ENGINEERING,ADP PRECISION ENGINEERING,88.46153846153845,
SLANEY PRECISION ENGINEERING,PS PRECISION ENGINEERING,88.46153846153845,
TAE PRECISION ENGINEERING,REGAL PRECISION ENGINEERING,88.46153846153845,
VALUE TOOL AND ENGINEERING,VANAM TOOL AND ENGINEERING,88.46153846153845,
ADLAM ENGINEERING PTY,BALEGA ENGINEERING PTY,88.37209302325581,
AOTCO METAL FINISHING,ANOTECH METAL FINISING,88.37209302325581,
BILLCO MANUFACTURING,BRILLCAST MANUFACTURING,88.37209302325581,
CAMERON INTERNATIONAL,ANDERSON INTERNATIONAL,88.37209302325581,
CERTIFIED STEEL TREATING,ERIE STEEL TREATING,88.37209302325581,
FRIENDS LUN INDUSTRIAL,FRIENDS OF INDUSTRIAL,88.37209302325581,
GARDENA MANUFACTURING,CARDINAL MANUFACTURING,88.37209302325581,
MCGILL MANUFACTURING,MCQUILLEN MANUFACTURING,88.37209302325581,
PRENCO MANUFACTURING,PRECISION MANUFACTURING,88.37209302325581,
WEBSTER MACHINE WORKS,WHISTLER MACHINE WORKS,88.37209302325581,
GUANGZHOU NEW KAU HEAT TREATMENT PLANT,GUANGZHOU CITY KAU HEAT TREATMENT PLANT,88.31168831168831,
4B PRECISION ENG,CUBE PRECISION ENG,88.23529411764706,
A AND B PRECAST MFG,A AND B PRECAST,88.23529411764706,
A D MANUFACTURING,IVA MANUFACTURING,88.23529411764706,
A D MANUFACTURING,KAY MANUFACTURING,88.23529411764706,
A D MANUFACTURING,BAP MANUFACTURING,88.23529411764706,
A D MANUFACTURING,AER MANUFACTURING,88.23529411764706,
A R D INDUSTRIES,B AND R INDUSTRIES,88.23529411764706,
ABBY MANUFACTURING,BT MANUFACTURING,88.23529411764706,
AE TECHNOLOGIES,ASCENX TECHNOLOGIES,88.23529411764706,
AE TECHNOLOGIES,GRAVER TECHNOLOGIES,88.23529411764706,
ALBION INDUSTRIES,DALSIN INDUSTRIES,88.23529411764706,
ANCA MANUFACTURING,CF MANUFACTURING,88.23529411764706,
ARC INTERNATIONAL,CML INTERNATIONAL,88.23529411764706,
ARC INTERNATIONAL,EJA INTERNATIONAL,88.23529411764706,
ARTEC ENGINEERING,ABORE ENGINEERING,88.23529411764706,
ARTEC ENGINEERING,ARCOT ENGINEERING,88.23529411764706,
AWC MANUFACTURING,A D MANUFACTURING,88.23529411764706,
AWC MANUFACTURING,AER MANUFACTURING,88.23529411764706,
BACHS MASKINFABRIK,BRS MASKINFABRIK,88.23529411764706,
BAP MANUFACTURING,AER MANUFACTURING,88.23529411764706,
BAP MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
BAYTECH INDUSTRIES,BARTH INDUSTRIES,88.23529411764706,
BEACON INDUSTRIES,DEACRO INDUSTRIES,88.23529411764706,
BECK MANUFACTURING,CF MANUFACTURING,88.23529411764706,
BECK MANUFACTURING,CW MANUFACTURING,88.23529411764706,
BECK MANUFACTURING,BT MANUFACTURING,88.23529411764706,
BERVIC ENGINEERING,ABEC ENGINEERING,88.23529411764706,
BLB MANUFACTURING,BAP MANUFACTURING,88.23529411764706,
BMS MANUFACTURING,BLB MANUFACTURING,88.23529411764706,
BMS MANUFACTURING,CSS MANUFACTURING,88.23529411764706,
BMS MANUFACTURING,BAP MANUFACTURING,88.23529411764706,
BOS MACHINE SHOP,BANDS MACHINE SHOP,88.23529411764706,
CGL MANUFACTURING,COX MANUFACTURING,88.23529411764706,
CGL MANUFACTURING,BLB MANUFACTURING,88.23529411764706,
CGL MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
CHANGZHOU YUANDONG,CANGZHOU HUADONG,88.23529411764706,
CHELL ENGINEERING,BELLE ENGINEERING,88.23529411764706,
CLIFTON ENGINEERING,CLT ENGINEERING,88.23529411764706,
CMP TECHNOLOGIES,COPAS TECHNOLOGIES,88.23529411764706,
CMP TECHNOLOGIES,CYMAT TECHNOLOGIES,88.23529411764706,
CNC MANUFACTURING,CGL MANUFACTURING,88.23529411764706,
CNC MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
COX MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
COX MANUFACTURING,CNC MANUFACTURING,88.23529411764706,
COX MANUFACTURING,CSS MANUFACTURING,88.23529411764706,
CPT ENGINEERING,CHAPTER ENGINEERING,88.23529411764706,
CROW MANUFACTURING,CF MANUFACTURING,88.23529411764706,
CROW MANUFACTURING,CK MANUFACTURING,88.23529411764706,
CSS MANUFACTURING,CGL MANUFACTURING,88.23529411764706,
CSS MANUFACTURING,CNC MANUFACTURING,88.23529411764706,
CSS MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
CURT MANUFACTURING,BT MANUFACTURING,88.23529411764706,
CURT MANUFACTURING,CF MANUFACTURING,88.23529411764706,
CURT MANUFACTURING,CK MANUFACTURING,88.23529411764706,
CURT MANUFACTURING,CW MANUFACTURING,88.23529411764706,
D AND E MACHINING,D AND N MACHINING,88.23529411764706,
D AND N MACHINING,G AND R MACHINING,88.23529411764706,
DACOL ENGINEERING,ARCOT ENGINEERING,88.23529411764706,
DENMAC INDUSTRIES,DEACRO INDUSTRIES,88.23529411764706,
DICOR ENGINEERING,DACOL ENGINEERING,88.23529411764706,
DOBY ENGINEERING,DONYAL ENGINEERING,88.23529411764706,
EAGLE MANUFACTURING,G MANUFACTURING,88.23529411764706,
ECM TECHNOLOGIES,CYMAT TECHNOLOGIES,88.23529411764706,
ECM TECHNOLOGIES,ELMET TECHNOLOGIES,88.23529411764706,
ECO CUTTING TOOLS,PEN CUTTING TOOLS,88.23529411764706,
EHS MANUFACTURING,JSL MANUFACTURING,88.23529411764706,
EHS MANUFACTURING,BMS MANUFACTURING,88.23529411764706,
EHS MANUFACTURING,CSS MANUFACTURING,88.23529411764706,
EHS MANUFACTURING,AER MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,BAP MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,EHS MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,AER MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,ITC MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,IVA MANUFACTURING,88.23529411764706,
EIP MANUFACTURING,KIM MANUFACTURING,88.23529411764706,
ERMACH ENGINEERING,MACA ENGINEERING,88.23529411764706,
FALCON INDUSTRIES,ALBION INDUSTRIES,88.23529411764706,
FALCON INDUSTRIES,BEACON INDUSTRIES,88.23529411764706,
FTT MANUFACTURING,JFC MANUFACTURING,88.23529411764706,
FTT MANUFACTURING,ITC MANUFACTURING,88.23529411764706,
G AND A MACHINING,G AND R MACHINING,88.23529411764706,
GREAT ENGINEERING,REGAL ENGINEERING,88.23529411764706,
GREAT ENGINEERING,TRANT ENGINEERING,88.23529411764706,
GTEC ENGINEERING,GEARCO ENGINEERING,88.23529411764706,
HART ENGINEERING,MARGET ENGINEERING,88.23529411764706,
HART ENGINEERING,HARVAN ENGINEERING,88.23529411764706,
HD MANUFACTURING,LUND MANUFACTURING,88.23529411764706,
HESS INDUSTRIES,HENNESSY INDUSTRIES,88.23529411764706,
HOJ MASKINTEKNIK,BOJER MASKINTEKNIK,88.23529411764706,
IMAGE MANUFACTURING,G MANUFACTURING,88.23529411764706,
IMI INTERNATIONAL,CML INTERNATIONAL,88.23529411764706,
ITC MANUFACTURING,CNC MANUFACTURING,88.23529411764706,
ITC MANUFACTURING,COX MANUFACTURING,88.23529411764706,
ITC MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
ITC MANUFACTURING,CGL MANUFACTURING,88.23529411764706,
IVA MANUFACTURING,BAP MANUFACTURING,88.23529411764706,
IVA MANUFACTURING,ITC MANUFACTURING,88.23529411764706,
IVA MANUFACTURING,AER MANUFACTURING,88.23529411764706,
IVA MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
IWM INTERNATIONAL,MCC INTERNATIONAL,88.23529411764706,
IWM INTERNATIONAL,WHA INTERNATIONAL,88.23529411764706,
J C ENGINEERING PTY,J P ENGINEERING,88.23529411764706,
JFC MANUFACTURING,CNC MANUFACTURING,88.23529411764706,
JFC MANUFACTURING,COX MANUFACTURING,88.23529411764706,
JFC MANUFACTURING,CSS MANUFACTURING,88.23529411764706,
JFC MANUFACTURING,CGL MANUFACTURING,88.23529411764706,
JFC MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
JIUYANG PRECISION,JIEBANG PRECISION,88.23529411764706,
JSL MANUFACTURING,BLB MANUFACTURING,88.23529411764706,
JSL MANUFACTURING,BMS MANUFACTURING,88.23529411764706,
JSL MANUFACTURING,CGL MANUFACTURING,88.23529411764706,
JSL MANUFACTURING,CSS MANUFACTURING,88.23529411764706,
JSL MANUFACTURING,JFC MANUFACTURING,88.23529411764706,
JSL MANUFACTURING,LMC MANUFACTURING,88.23529411764706,
JV MANUFACTURING,JONA MANUFACTURING,88.23529411764706,
KAY MANUFACTURING,AER MANUFACTURING,88.23529411764706,
KAY MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
KIM MANUFACTURING,KAY MANUFACTURING,88.23529411764706,
KIM MANUFACTURING,ITC MANUFACTURING,88.23529411764706,
KIM MANUFACTURING,IVA MANUFACTURING,88.23529411764706,
KIM MANUFACTURING,BMS MANUFACTURING,88.23529411764706,
KUNI MASKINFABRIK,LUND MASKINFABRIK,88.23529411764706,
LAI INTERNATIONAL,IWM INTERNATIONAL,88.23529411764706,
LAI INTERNATIONAL,WHA INTERNATIONAL,88.23529411764706,
LEECH INDUSTRIES,TEUTECH INDUSTRIES,88.23529411764706,
LINCOLN INDUSTRIES,LENCO INDUSTRIES,88.23529411764706,
LINCOLN INDUSTRIES,LIGON INDUSTRIES,88.23529411764706,
LINK ENGINEERING,GALVIN ENGINEERING,88.23529411764706,
LMC MANUFACTURING,AWC MANUFACTURING,88.23529411764706,
LMC MANUFACTURING,BLB MANUFACTURING,88.23529411764706,
LMC MANUFACTURING,BMS MANUFACTURING,88.23529411764706,
MACK MANUFACTURING,CF MANUFACTURING,88.23529411764706,
MACK MANUFACTURING,CW MANUFACTURING,88.23529411764706,
MALAN ENGINEERING,LANYU ENGINEERING,88.23529411764706,
MALAN ENGINEERING,MANDJ ENGINEERING,88.23529411764706,
MANDJ ENGINEERING,PANDA ENGINEERING,88.23529411764706,
MANDJ ENGINEERING,PANDD ENGINEERING,88.23529411764706,
MANDJ ENGINEERING,SANDH ENGINEERING,88.23529411764706,
MARS MANUFACTURING,MC MANUFACTURING,88.23529411764706,
MARTIN INDUSTRIES,MAYERI INDUSTRIES,88.23529411764706,
MAVAL INDUSTRIES,MIDVALE INDUSTRIES,88.23529411764706,
MCC INTERNATIONAL,MON INTERNATIONAL,88.23529411764706,
MECO ENGINEERING,MICRON ENGINEERING,88.23529411764706,
MECO ENGINEERING,GEARCO ENGINEERING,88.23529411764706,
MKC MANUFACTURING,TAC MANUFACTURING,88.23529411764706,
MKC MANUFACTURING,PPC MANUFACTURING,88.23529411764706,
MKC MANUFACTURING,RBM MANUFACTURING,88.23529411764706,
MON INTERNATIONAL,IWM INTERNATIONAL,88.23529411764706,
MOTION INDUSTRIES,MOONEY INDUSTRIES,88.23529411764706,
MOTION INDUSTRIES,MARTIN INDUSTRIES,88.23529411764706,
NATIONAL O VARCO,NATIONAL OVARCO II,88.23529411764706,
NERCON ENGINEERING,MECO ENGINEERING,88.23529411764706,
P3 MANUFACTURING,WGSP MANUFACTURING,88.23529411764706,
PACE INDUSTRIES,PACKWELL INDUSTRIES,88.23529411764706,
PANDA ENGINEERING,PADCO ENGINEERING,88.23529411764706,
PANDD ENGINEERING,PADCO ENGINEERING,88.23529411764706,
PARK MANUFACTURING,P3 MANUFACTURING,88.23529411764706,
PE MANUFACTURING,PARK MANUFACTURING,88.23529411764706,
PE MANUFACTURING,WGSP MANUFACTURING,88.23529411764706,
POWER SYSTEMS MFG,IEM POWER SYSTEMS,88.23529411764706,
PPC MANUFACTURING,TAC MANUFACTURING,88.23529411764706,
PPC MANUFACTURING,MC3 MANUFACTURING,88.23529411764706,
PRUITT MACHINE SHOP,PI MACHINE SHOP,88.23529411764706,
R AND S MACHINING,G AND R MACHINING,88.23529411764706,
RAJAN TRANSPORTES,TRANSPORTI KRAJAN,88.23529411764706,
RAO MANUFACTURING,RBM MANUFACTURING,88.23529411764706,
RAO MANUFACTURING,SAE MANUFACTURING,88.23529411764706,
RBM MANUFACTURING,MC3 MANUFACTURING,88.23529411764706,
RBM MANUFACTURING,TRD MANUFACTURING,88.23529411764706,
REVA ENGINEERING,EVATON ENGINEERING,88.23529411764706,
REVA ENGINEERING,HARVAN ENGINEERING,88.23529411764706,
RIMA MANUFACTURING,MC MANUFACTURING,88.23529411764706,
RM TOOL AND DIE,REZMIN TOOL AND DIE,88.23529411764706,
ROSCO ENGINEERING,SCOTT ENGINEERING,88.23529411764706,
ROSER TECHNOLOGIES,DRS TECHNOLOGIES,88.23529411764706,
S S MANUFACTURING,SAE MANUFACTURING,88.23529411764706,
SAMCO ENTERPRISES,HARCO ENTERPRISES,88.23529411764706,
SANDH ENGINEERING,PANDA ENGINEERING,88.23529411764706,
SANDH ENGINEERING,PANDD ENGINEERING,88.23529411764706,
SCH ENGINEERING,FISCHER ENGINEERING,88.23529411764706,
SCOPE ENGINEERING,ROSCO ENGINEERING,88.23529411764706,
SCOTT ENGINEERING,SCOPE ENGINEERING,88.23529411764706,
SETA TECHNOLOGIES,MTAR TECHNOLOGIES,88.23529411764706,
SETA TECHNOLOGIES,SREM TECHNOLOGIES,88.23529411764706,
SHAND ENGINEERING,MANDJ ENGINEERING,88.23529411764706,
SHAND ENGINEERING,PANDA ENGINEERING,88.23529411764706,
SHAND ENGINEERING,PANDD ENGINEERING,88.23529411764706,
SHP MANUFACTURING,PPC MANUFACTURING,88.23529411764706,
SHP MANUFACTURING,S S MANUFACTURING,88.23529411764706,
SHP MANUFACTURING,SAE MANUFACTURING,88.23529411764706,
SHP MANUFACTURING,STS MANUFACTURING,88.23529411764706,
SOHN MANUFACTURING,WO MANUFACTURING,88.23529411764706,
STARK INDUSTRIAL,STELLAR INDUSTRIAL,88.23529411764706,
STRITE INDUSTRIES,TRIDEM INDUSTRIES,88.23529411764706,
STS MANUFACTURING,SAE MANUFACTURING,88.23529411764706,
SUPRA TECHNOLOGIES,PAS TECHNOLOGIES,88.23529411764706,
