Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E006560,COMMERCIAL OIL,COMMERCIAL OIL CO,United States Of America,1,E006561,COMMERCIAL OIL OF HAMILTON,COMMERCIAL OIL CO OF HAMILTON,Canada,1,Medium,40,70.0,100.0,70.0,100.0,2
E008621,FUZIN PLASTIC,FUZIN PLASTIC,Thailand,1,E014299,PLASTIC,Plastic,United States Of America,1,Medium,20,70.0,100.0,70.0,100.0,2
E009190,GLOBE PIPE HANGER PRODUCTS,Globe Pipe Hanger Products,United States Of America,1,E008919,GLOBE PRODUCTS,GLOBE PRODUCTS CO INC,United States Of America,1,Medium,40,70.0,84.6,70.0,100.0,2
E015903,STARRAG,STARRAG,Switzerland,1,E015904,STARRAG GROUP,STARRAG GROUP,Switzerland,1,Medium,20,70.0,100.0,70.0,100.0,2
E004717,ANCHOR FIRE PROTECTION,ANCHOR FIRE PROTECTION,United States Of America,1,E004720,ANCHORE FIRE PROTECTION,ANCHORE FIRE PROTECTION,United States Of America,1,Medium,45,97.8,95.5,97.8,97.8,2
E005670,BRADDOCK METALLURGICAL,BRADDOCK METALLURGICAL,United States Of America,1,E005671,BRADDOCK METALLURIGICAL,BRADDOCK METALLURIGICAL,United States Of America,1,Medium,45,97.8,95.5,97.8,97.8,2
E013823,PK JEPPESEN AND SON A S,PK JEPPESEN AND SON A/S,Denmark,1,E013824,PK JEPPESEN AND SON AS,PK JEPPESEN AND SON AS,Norway,1,Medium,45,97.8,97.7,84.4,97.8,2
E016559,THAI INDUCTION SERVICE,THAI INDUCTION SERVICE,Thailand,1,E016560,THAI INDUCTIONS SERVICE,THAI INDUCTIONS SERVICE COMPANY LIMITED,,1,Medium,45,97.8,95.5,97.8,97.8,2
E004691,AMPEX METAL PRODUCTS,AMPEX METAL PRODUCTS COMPANY,United States Of America,1,E004817,APEX METAL PRODUCTS,APEX METAL PRODUCTS,United States Of America,1,Medium,39,97.4,97.3,97.4,97.4,2
E006357,CHRIS REEVE KNIVES,CHRIS REEVE KNIVES,United States Of America,1,E006358,CHRIS REEVES KNIVES,CHRIS REEVES KNIVES,United States Of America,1,Medium,37,97.3,94.4,97.3,97.3,2
